"Id","SalePrice"
1461,122027.604524765
1462,163469.639566447
1463,184793.819223449
1464,199087.789752339
1465,190658.432455741
1466,171553.701515841
1467,180549.954002447
1468,164232.333189035
1469,185285.740130278
1470,122451.777233555
1471,200906.704027458
1472,95303.8071807736
1473,95899.1925415475
1474,150218.947170597
1475,114534.444449713
1476,370091.585240191
1477,257953.823207014
1478,281220.828485316
1479,273476.926516717
1480,495758.340968298
1481,329210.261773344
1482,209293.199106132
1483,177666.831877827
1484,166236.560271422
1485,181372.944193668
1486,194989.026815186
1487,327541.495078048
1488,227448.202691128
1489,201970.381886794
1490,228755.894941478
1491,192499.862740448
1492,93909.8994350876
1493,180016.164677991
1494,288491.703930437
1495,288150.050313721
1496,234311.351842628
1497,183245.897994755
1498,166929.980752139
1499,158920.525688174
1500,156440.568860439
1501,176268.183999358
1502,144557.92373918
1503,289330.480070025
1504,239527.193632936
1505,223077.249220832
1506,192884.761184003
1507,254528.379106728
1508,199653.84284025
1509,164513.688971707
1510,143676.02918216
1511,150344.936566541
1512,175096.591544172
1513,141859.596364836
1514,156262.455163757
1515,193734.77414797
1516,154073.266974487
1517,167226.087071802
1518,130579.419687499
1519,220163.980488478
1520,131549.022883141
1521,135645.515692411
1522,172172.428521311
1523,116182.348986221
1524,122488.037092715
1525,124446.672971174
1526,112633.628756635
1527,103631.878544945
1528,136252.607009834
1529,153605.538931899
1530,176713.652719589
1531,106162.225247112
1532,92559.5422676205
1533,145674.379142519
1534,124187.185225131
1535,155191.372513745
1536,104119.65283918
1537,64290.7781200663
1538,155421.14196221
1539,197025.344316529
1540,91962.9652472606
1541,141799.39391189
1542,138491.324278462
1543,204770.21450826
1544,84888.3247481064
1545,110228.622954143
1546,133530.872679659
1547,133359.033839613
1548,135176.288472425
1549,117271.076988381
1550,133940.203338901
1551,106837.741775936
1552,136834.707173348
1553,149781.023756035
1554,115360.461778622
1555,159722.618144645
1556,88893.3613338619
1557,108736.412321786
1558,93522.0777000377
1559,68220.8384666146
1560,131552.86154274
1561,129364.240678156
1562,127887.397119623
1563,119458.160425715
1564,167175.118753789
1565,146014.176739605
1566,235312.042651643
1567,76462.492916127
1568,231438.648192499
1569,130433.013940869
1570,140168.272355875
1571,122983.606405338
1572,146956.110759646
1573,253091.820045143
1574,119228.669939286
1575,228942.003348509
1576,236787.755130168
1577,187180.184768138
1578,141785.033505203
1579,149202.784869108
1580,192411.288227366
1581,151031.479166612
1582,124325.245345195
1583,313759.98603605
1584,225420.854701743
1585,140081.782112998
1586,69928.3265671878
1587,98976.904737539
1588,155215.347761091
1589,103171.022995469
1590,135036.281732607
1591,97229.0287074508
1592,111979.077948473
1593,122138.893836383
1594,133195.23069163
1595,115071.291601351
1596,240476.137341075
1597,187394.941447525
1598,212047.863594441
1599,170989.837137673
1600,164571.298425093
1601,65816.244527311
1602,112279.132342189
1603,71215.2508736919
1604,258977.022003552
1605,243428.103739247
1606,169994.332265722
1607,166226.748749559
1608,211416.246031728
1609,188371.01958321
1610,152628.605404671
1611,139111.241548965
1612,168457.868868113
1613,165524.128641226
1614,124871.730874113
1615,91789.3146069601
1616,76990.5878236171
1617,92527.0396829223
1618,125648.063707004
1619,136912.188377203
1620,159958.029727048
1621,138212.487409763
1622,143516.891084074
1623,270800.632141557
1624,218036.716213891
1625,117792.229559568
1626,162699.881959688
1627,189793.071361375
1628,277155.960241627
1629,178706.279075313
1630,370178.216825057
1631,217390.398669535
1632,239142.826795357
1633,168606.140908423
1634,185203.224644373
1635,173311.725321348
1636,154830.066170391
1637,199592.204016379
1638,184497.603325603
1639,181178.900768353
1640,264903.704228467
1641,178976.808908989
1642,232724.065851524
1643,218620.373235215
1644,232308.014835369
1645,203572.750823059
1646,161721.864874833
1647,157810.823801834
1648,131867.238006973
1649,139022.726252142
1650,111933.765088206
1651,122003.888252217
1652,95351.3675961932
1653,99190.4888022005
1654,147701.094069408
1655,142107.021264941
1656,141442.156724867
1657,147884.184658102
1658,142094.553417455
1659,118458.449473513
1660,154637.019739494
1661,445763.915916433
1662,402935.532007011
1663,380877.134891229
1664,515571.521766512
1665,306590.485607896
1666,330389.262578108
1667,367408.588689563
1668,324751.993036731
1669,296852.137156628
1670,333819.528116981
1671,264799.531024616
1672,456762.064766987
1673,288112.510145104
1674,242415.335525324
1675,197730.69421752
1676,198110.532039511
1677,223638.339285305
1678,483554.995216514
1679,393748.585442178
1680,336017.628149482
1681,237529.059640483
1682,303199.55247717
1683,182903.813648203
1684,173921.367267904
1685,172227.242895074
1686,167693.887707421
1687,170892.541005461
1688,193723.284871478
1689,194453.603275014
1690,192785.68192597
1691,181673.561991698
1692,256330.51423543
1693,168371.103447392
1694,181869.261090562
1695,163800.768118595
1696,267200.978344252
1697,169617.744528605
1698,353422.83748022
1699,314785.471474706
1700,244801.449961407
1701,264877.796409758
1702,244239.038253011
1703,239014.2511905
1704,282603.846873363
1705,228022.953123243
1706,437196.491244684
1707,216582.431378613
1708,204747.376470875
1709,279756.681914419
1710,223075.506385102
1711,260069.316875517
1712,263125.167161888
1713,272478.940537362
1714,225385.253228317
1715,201739.086189315
1716,187118.415670305
1717,172928.415262689
1718,134950.053196199
1719,204900.91041677
1720,240406.549296685
1721,163133.019302999
1722,122790.766256849
1723,154110.611197236
1724,211288.16684049
1725,241275.862398541
1726,186505.061731224
1727,159069.936647328
1728,174492.731264581
1729,166349.340284087
1730,152732.192876151
1731,120418.231841661
1732,129537.888763851
1733,112945.609769946
1734,118697.872942862
1735,129003.662431236
1736,111323.305954924
1737,303511.45570584
1738,233143.696297151
1739,256138.111054317
1740,221236.409567771
1741,189820.866232482
1742,171841.986503498
1743,178053.548092117
1744,303952.110454601
1745,218493.850255612
1746,178497.150168205
1747,219322.850303824
1748,230670.922503916
1749,148179.144680123
1750,126687.949453754
1751,247500.283545987
1752,116644.841039193
1753,147781.057461507
1754,193530.676446884
1755,169045.854364727
1756,125887.471089793
1757,120487.481519446
1758,147567.55828542
1759,161752.343059752
1760,166650.880520225
1761,140863.735637151
1762,176404.816278715
1763,176589.909274742
1764,113321.723982644
1765,149478.614365978
1766,182835.636760266
1767,224446.495854965
1768,144918.139510238
1769,174826.606823665
1770,150038.453884227
1771,125132.916861796
1772,137038.689870615
1773,127576.325965727
1774,138101.810146272
1775,141237.788409323
1776,126856.233904071
1777,114194.404806208
1778,138205.630941704
1779,113957.962951215
1780,171003.192417063
1781,127851.041175631
1782,86943.6804629007
1783,147287.44709119
1784,104044.546539102
1785,123285.017382571
1786,131010.418406309
1787,164791.987585051
1788,61090.0965615384
1789,103665.520534899
1790,76702.6676083552
1791,179859.766026212
1792,158527.978249486
1793,133778.611756935
1794,156267.518732483
1795,135659.219151342
1796,118813.955001251
1797,120198.267547534
1798,124752.491155851
1799,111637.744090401
1800,131968.97597097
1801,132566.309075902
1802,128280.609806546
1803,143221.364996526
1804,146947.192463702
1805,135824.659541556
1806,123462.357008062
1807,131290.806594624
1808,118675.950426682
1809,122644.528921687
1810,139464.499747348
1811,95280.026872175
1812,99387.2933037821
1813,121426.58775706
1814,98078.0524321961
1815,55250.5624298035
1816,99061.3898423586
1817,110611.104121584
1818,144091.303887711
1819,125329.00925541
1820,51586.4904886096
1821,109851.736202249
1822,146302.614165652
1823,44348.7608864864
1824,132291.009096115
1825,132683.632172399
1826,104706.534641982
1827,100632.868866051
1828,131267.519120271
1829,118286.442281865
1830,146745.457186368
1831,141192.687245172
1832,71526.8951175886
1833,139009.979137027
1834,120512.597396175
1835,126495.833386252
1836,127904.254134289
1837,91546.2668109192
1838,127804.664730057
1839,92862.4773217456
1840,150815.885662184
1841,141734.708727674
1842,88842.9089241052
1843,127343.719829434
1844,136210.327810659
1845,138302.74924198
1846,152471.942974059
1847,164239.641716849
1848,55340.5648501961
1849,104272.44692937
1850,114645.985674864
1851,158919.389987506
1852,125883.666508378
1853,128351.681481018
1854,165048.839195263
1855,151666.416469888
1856,221708.123164881
1857,143519.891357788
1858,137610.188285009
1859,118503.6274276
1860,150747.133807443
1861,116893.343757985
1862,293604.705163859
1863,279595.406218793
1864,280312.544101956
1865,319023.266832811
1866,333721.825378056
1867,233635.206002287
1868,303722.34655551
1869,205360.679495429
1870,230890.65821163
1871,246013.161643996
1872,173148.453724001
1873,237911.852640788
1874,145124.357509164
1875,199247.706683856
1876,196468.520865443
1877,211021.213116038
1878,194438.536850863
1879,128979.441910386
1880,132260.540113965
1881,246306.278720998
1882,250041.440705806
